"","date","cases.fitted","cases.fitted.hi","cases.fitted.lo","cum.incidence","cum.incidence.hi","cum.incidence.lo","deaths","deaths.diagnosed","deaths.diagnosed.hi","deaths.diagnosed.lo","deaths.fitted","deaths.fitted.hi","deaths.fitted.lo","deaths.hi","deaths.lo","diagnoses","diagnoses.hi","diagnoses.lo","infections","infections.hi","infections.lo","pop.infectiousness","pop.infectiousness.hi","pop.infectiousness.lo","Rt","Rt.hi","Rt.lo","sero.positive","sero.positive.hi","sero.positive.lo","severe","severe.hi","severe.lo","symptomatic","symptomatic.diagnosed","symptomatic.diagnosed.hi","symptomatic.diagnosed.lo","symptomatic.hi","symptomatic.lo","data.available","index"
"306",2021-01-15,398.613710574694,434.340815978698,364.287964986808,408616.973869942,541389.793514778,283260.878734877,23.9419011616761,21.6362760219104,24.0504542393616,19.245311963165,21.6362760219104,24.0504542393616,19.245311963165,30.0237929302907,20.5056872024205,398.613710574694,434.340815978698,364.287964986808,2689.42731787112,3626.47082238433,1822.15102058564,3600.82033264318,4893.89142847558,2481.85442360301,0.853108451992328,0.916871085967075,0.796152081692133,256883.772370145,341989.002846668,179046.747094707,64.9698021097537,116.585381758771,38.2049374903896,749.928014582233,339.577879471343,402.776755439868,240.435206481589,1177.35921929114,443.082038385622,TRUE,306
"307",2021-01-16,387.429947732674,422.122933443252,353.519065931657,411237.737625792,544974.002321245,284875.651728002,24.2750066807849,21.9067813910269,24.3982854046271,19.5533686326689,21.9067813910269,24.3982854046271,19.5533686326689,30.3121351860044,20.818696579096,387.429947732674,422.122933443252,353.519065931657,2548.11737574571,3464.44830017695,1729.05263526634,3451.1678892727,4683.40099214745,2368.49843521308,0.85427462969842,0.92082004732002,0.794604109680553,257830.520709095,343297.587874114,179566.666203874,63.5889914215461,113.308683092642,37.2284116439829,719.213727728336,331.015194240922,390.746680193232,236.071968418216,1128.89683116661,426.133294239585,TRUE,307
"308",2021-01-17,375.235962188922,408.353757399655,342.947359351528,413673.51353032,548395.208021334,286463.782803959,24.5115305245687,22.136518196726,24.650910363487,19.8004882109417,22.136518196726,24.650910363487,19.8004882109417,30.5994852222308,21.0467986820561,375.235962188922,408.353757399655,342.947359351528,2419.40686977909,3324.65668747696,1653.3286150068,3302.42550276871,4452.14299988886,2260.64609345568,0.855378706390157,0.925828271704775,0.795825854967418,258882.611601215,344436.212563637,179984.419602685,61.7834758232981,109.308143538185,36.0627762152251,685.465634909372,321.907195283574,379.772803637134,229.124084731792,1082.7700371517,407.809551567855,TRUE,308
"309",2021-01-18,362.032115658335,393.943167249524,330.608329466958,416045.582782042,551654.939510381,288115.009201858,24.6870755837563,22.3232632882819,24.8175186406036,19.9943898383118,22.3232632882819,24.8175186406036,19.9943898383118,30.6762946765789,21.201012025698,362.032115658335,393.943167249524,330.608329466958,2304.33364799353,3165.93411479434,1585.76145969216,3146.65816410739,4235.99110726766,2153.88746120383,0.858459479103135,0.928296543192134,0.800219963482353,259766.070485748,345402.400397701,180306.797960575,59.840450547182,105.240645405679,34.9128978955505,651.375533380085,311.627792351417,368.307101832562,221.642412451686,1033.8487986178,391.381488069834,TRUE,309
"310",2021-01-19,348.573913776632,378.796251678205,318.423800276906,418323.37960523,554756.244353318,289681.05461412,24.8419887025546,22.4393010755403,24.8941758948762,20.1596670947665,22.4393010755403,24.8941758948762,20.1596670947665,30.7725667107451,21.3759010585111,348.573913776632,378.796251678205,318.423800276906,2183.63967079123,3001.27098184418,1515.8394716742,3001.55714737068,4033.96106700862,2034.16624753062,0.863003933868314,0.931740448499371,0.805482440145675,260387.954064762,346199.832703946,180541.072516917,57.7553734328341,101.535792135921,33.8099380264944,621.370549472368,300.457773568925,356.424465324848,213.727115316023,988.186645698341,374.817695424068,TRUE,310
"311",2021-01-20,334.345970088638,363.886598524478,305.262828101312,420552.393325286,557704.178123978,291091.294524688,24.9312432211149,22.5186124564267,24.9439373924106,20.2515551463873,22.5186124564267,24.9439373924106,20.2515551463873,30.8971780151134,21.421722052547,334.345970088638,363.886598524478,305.262828101312,2086.60430694265,2862.45298288305,1439.23587918746,2853.00710127767,3824.7452847776,1939.21273220913,0.869473244808289,0.936544777194199,0.810086414909676,260735.653823298,346577.685292513,180694.826735928,55.6937127852018,98.3551602238302,32.587371564274,592.122179400679,288.763899477033,340.751492254908,205.614121558675,942.965352941014,358.96567163677,TRUE,311
"312",2021-01-21,320.129109075765,348.651627094677,291.913138442861,422538.64894944,560339.585118438,292360.57388824,24.9019069035641,22.5215373707654,24.98649593736,20.2779197708758,22.5215373707654,24.98649593736,20.2779197708758,30.8449722655488,21.4106828321059,320.129109075765,348.651627094677,291.913138442861,1995.05244934229,2782.98316670452,1369.02602445118,2707.50229839085,3624.75135333174,1835.31862358929,0.876543294405032,0.945085836946344,0.816252400788545,261055.333259015,346840.329778581,180775.824789,53.7205363261083,94.8717768807437,31.2538617543658,565.301953311784,276.664609472631,326.259844991433,197.226893099129,892.72184268416,341.183378839946,TRUE,312
"313",2021-01-22,305.607804967095,332.696665077459,279.588586092783,424433.68605891,562817.571263231,293643.322940313,24.8143129914399,22.4523669546207,25.0275381588788,20.2595109235573,22.4523669546207,25.0275381588788,20.2595109235573,30.6817028089186,21.4124728570116,305.607804967095,332.696665077459,279.588586092783,1907.189514804,2668.25175427099,1301.35065645084,2567.39064140388,3464.69376240843,1749.99015907824,0.885086480974492,0.954208860105237,0.822797846464576,261427.27038403,347003.005201421,181000.469700378,51.5301683873493,90.5494656459607,30.0725706323341,538.065489187018,264.589068810711,309.918403814853,189.28588737937,850.198978667758,322.944835012258,TRUE,313
"314",2021-01-23,291.775965718418,318.142784317528,266.63457635707,426363.458742342,565182.137690037,294895.868257262,24.6513002185903,22.3318294508191,24.838212805128,20.149185626139,22.3318294508191,24.838212805128,20.149185626139,30.5282046312563,21.2955052354263,291.775965718418,318.142784317528,266.63457635707,1837.69952208267,2571.82780411827,1245.34689862074,2446.7335344775,3316.28651955752,1671.47909111478,0.894376737602914,0.964847060871913,0.830814575679807,261556.021232381,347067.147817725,181165.746876281,49.3531585770309,86.8024627648544,28.9136439787727,513.364903185281,252.654179091497,296.120496067236,181.302371080862,805.379940013317,306.002585505314,TRUE,314
"315",2021-01-24,278.444211590191,303.532295598873,254.059728381663,428188.915627394,567448.315452201,296120.390885453,24.4461019092161,22.1616801429334,24.6969665088206,19.9158619987614,22.1616801429334,24.6969665088206,19.9158619987614,30.2450706916167,21.1245887052572,278.444211590191,303.532295598873,254.059728381663,1776.00012881004,2499.18717912596,1209.89381220942,2324.01234483499,3180.76820193933,1599.05232997521,0.905503518663575,0.971370035784185,0.842963018872724,261706.958950832,347043.743942669,181225.397521526,47.2121700093542,82.5604655159151,27.6928701339316,488.902659163947,240.622539486471,283.433267207049,173.671331556627,769.728238507714,292.88587392427,TRUE,315
"316",2021-01-25,265.26366362116,289.950894822042,242.853052901383,429954.005925047,569631.19701304,297310.792775552,24.178341220243,21.9137153082716,24.4151509559752,19.6582887254371,21.9137153082716,24.4151509559752,19.6582887254371,29.9549353230371,20.928314144868,265.26366362116,289.950894822042,242.853052901383,1730.54441076092,2425.99241330461,1168.41508120735,2215.1091171765,3022.72387322569,1532.27383843575,0.91690338157843,0.981183558850605,0.854807527141627,261822.866217696,346942.57937099,181109.571494554,45.1154387712576,79.1099316443982,26.5177441123476,467.224933501222,228.86183060657,270.003993497373,167.128253809328,732.509395552017,280.5146654774,TRUE,316
"317",2021-01-26,252.810173912874,276.072254904282,231.799744382265,431674.222549206,571745.491369308,298341.647073159,23.8325007752075,21.5936509538257,24.0735594628175,19.3522740595607,21.5936509538257,24.0735594628175,19.3522740595607,29.5647410332429,20.6421758104295,252.810173912874,276.072254904282,231.799744382265,1683.75835600538,2378.00012927985,1136.19446485764,2112.48453297658,2885.40740824707,1463.04133624897,0.929039143456452,0.993367571792323,0.865788793328103,261870.067817795,346772.59168883,181075.081550082,43.0309140043262,76.0654963272305,25.2179728408749,447.683697891442,217.621503527605,257.66050747838,159.637478888438,701.713607301446,267.894407287292,TRUE,317
