"","Ps_output","Pr_output","Pr2_output","Pr3_output","sigma_output","Psev_output","Pd_output"
"1",0.102123272543692,0.154915970662299,0.034510420044265,0.0333933591770081,0.595377010366633,0.0016482587179042,0.00148823556827029
"2",0.104542565650643,0.155469295324814,0.0344214313853636,0.0347608297338708,0.594271546899129,0.00163374094869287,0.00148333222346676
"3",0.106785404659417,0.157581299977715,0.0337622419319932,0.0340014162694025,0.597848241053644,0.00163989023463579,0.00147986953326533
"4",0.105651997617162,0.157315213694447,0.0340422586970381,0.0336568979385148,0.597878096613146,0.00163174141410673,0.00148874636831098
"5",0.101289439099427,0.155837923507761,0.0349507051849777,0.0342190263888416,0.589637479246944,0.00163594932980435,0.00147291127016466
"6",0.107452331394459,0.150125619255752,0.0344461276794236,0.0345477291687968,0.593585762809461,0.0016343296098249,0.00149206828219352
"7",0.105030430340426,0.152757707663331,0.0350673516559083,0.0338335037261675,0.593578848391896,0.00163364654786201,0.00147894772683774
"8",0.103418758305818,0.157530312713573,0.0342654081165719,0.033848205484583,0.597759692164325,0.00165654591492024,0.00151013581276634
"9",0.104149977119833,0.159122392159034,0.0341567248806798,0.0348709144366616,0.596265910844047,0.00164386112134988,0.00147515478457207
"10",0.103583466827919,0.156112220569734,0.0344454197146904,0.034076417497536,0.592988774956532,0.00163729973509772,0.00147645783894132
"11",0.104238219962237,0.153195576366232,0.0343478404197414,0.0340241835816812,0.58851574225005,0.00164710636008849,0.00147799671980087
"12",0.104837622240814,0.155275122564458,0.0338123688760451,0.0342314602031268,0.593310168333274,0.00162224046139678,0.0015056649785474
"13",0.106150306324642,0.154389513217759,0.0337696088172361,0.0346767044185234,0.596436129004051,0.00163252394775772,0.00147325590007214
"14",0.103904708271039,0.154827821547859,0.0342579354347269,0.0342504934277982,0.588696129171297,0.00163642289860768,0.00148757135178765
"15",0.105040956445464,0.153375690339612,0.0345601794712735,0.0344276667709426,0.582143283892094,0.00164670339494258,0.00147008750975734
"16",0.103772495470528,0.152581148199386,0.034484991377948,0.0344714809299514,0.591247545184084,0.00165174740381632,0.00148824705143557
